Año,Fecha,Mes,Día de la semana,Día,Tema,Sub Tema,Línea,Estación,
2017,02/01/2017,1,Monday,2,Demoras e Interrupciones,DEMORAS - SUBTE,Sin especificar,Sin especificar,
2017,02/01/2017,1,Monday,2,Estaciones,INFRAESTRUCTURA DE ESTACIONES - SUBTE,LINEA D,Pueyrredón_D,
2017,02/01/2017,1,Monday,2,Estaciones,INFRAESTRUCTURA DE ESTACIONES - SUBTE,LINEA C,Independencia_C,
2017,02/01/2017,1,Monday,2,Inconvenientes con el personal,INCONVENIENTES CON EL SERVICIO EN CENTRO DE ATENCION AL PASAJERO / CENTROS SUBTEPASS - SUBTE,LINEA D,Palermo,
2017,02/01/2017,1,Monday,2,Demoras e Interrupciones,DEMORAS - SUBTE,LINEA E,Avenida La Plata,
2017,02/01/2017,1,Monday,2,Estaciones,INFRAESTRUCTURA DE ESTACIONES - SUBTE,LINEA B,De Los Incas,
2017,02/01/2017,1,Monday,2,Demoras e Interrupciones,DEMORAS - SUBTE,LINEA E,Bolívar,
2017,02/01/2017,1,Monday,2,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,LINEA E,Varela,
2017,02/01/2017,1,Monday,2,Temperaturas,ALTAS - BAJAS TEMPERATURAS - SUBTE,LINEA A,Carabobo,
2017,02/01/2017,1,Monday,2,Deficiencias en información,MAPAS Y CARTELES DE ORIENTACION EN ESTACIONES Y/O ACCESOS - SUBTE,LINEA B,Echeverría,
2017,02/01/2017,1,Monday,2,Demoras e Interrupciones,INTERRUPCIONES - SUBTE,LINEA B,Echeverría,
2017,02/01/2017,1,Monday,2,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,LINEA B,Juan Manuel de Rosas,
2017,02/01/2017,1,Monday,2,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,LINEA A,Perú,
2017,02/01/2017,1,Monday,2,Molinetes,FUNCIONAMIENTO/ MANTENIMIENTO DE MOLINETES - SUBTE,LINEA A,Castro Barros,
2017,02/01/2017,1,Monday,2,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,LINEA B,Pueyrredón_B,
2017,02/01/2017,1,Monday,2,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,LINEA C,San Juan,
2017,02/01/2017,1,Monday,2,Demoras e Interrupciones,DEMORAS - SUBTE,LINEA E,Bolívar,
2017,02/01/2017,1,Monday,2,Falta de limpieza,LIMPIEZA - SUBTE,LINEA E,Bolívar,
2017,02/01/2017,1,Monday,2,Demoras e Interrupciones,INTERRUPCIONES - SUBTE,LINEA E,Varela,
2017,02/01/2017,1,Monday,2,Estaciones,INFRAESTRUCTURA DE ESTACIONES - SUBTE,LINEA E,Bolívar,
2017,02/01/2017,1,Monday,2,Estaciones,FILTRACIONES - SUBTE,LINEA C,San Juan,
2017,02/01/2017,1,Monday,2,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,LINEA H,Santa Fe,
2017,02/01/2017,1,Monday,2,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,LINEA D,José Hernández,
2017,02/01/2017,1,Monday,2,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,LINEA H,Córdoba,
2017,02/01/2017,1,Monday,2,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,LINEA H,Córdoba,
2017,02/01/2017,1,Monday,2,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,LINEA H,Córdoba,
2017,02/01/2017,1,Monday,2,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,LINEA H,Córdoba,
2017,02/01/2017,1,Monday,2,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,LINEA H,Córdoba,
2017,02/01/2017,1,Monday,2,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,LINEA B,Federico Lacroze,
2017,02/01/2017,1,Monday,2,Seguridad,DISTURBIOS - SUBTE,LINEA H,Córdoba,
2017,02/01/2017,1,Monday,2,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,LINEA H,Córdoba,
2017,02/01/2017,1,Monday,2,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,LINEA H,Santa Fe,
