key,hora,date,average,value
LINEA_D,16:45:00,2018-01-01 16:45:00,5837,2738
LINEA_D,17:00:00,2018-01-01 17:00:00,7640,9346
LINEA_D,17:15:00,2018-01-01 17:15:00,7449,8328
LINEA_D,17:30:00,2018-01-01 17:30:00,7142,7737
LINEA_D,17:45:00,2018-01-01 17:45:00,6673,6824
LINEA_D,18:00:00,2018-01-01 18:00:00,8858,8527
LINEA_D,18:15:00,2018-01-01 18:15:00,8343,8419
LINEA_D,18:30:00,2018-01-01 18:30:00,7004,7053
LINEA_D,18:45:00,2018-01-01 18:45:00,5619,5297
LINEA_E,13:00:00,2018-01-01 13:00:00,1490,1693
LINEA_E,13:15:00,2018-01-01 13:15:00,1366,1552
LINEA_E,13:30:00,2018-01-01 13:30:00,1254,1547
LINEA_E,13:45:00,2018-01-01 13:45:00,1088,1507
LINEA_E,14:00:00,2018-01-01 14:00:00,1246,1881
LINEA_E,14:15:00,2018-01-01 14:15:00,1169,1615
LINEA_E,14:30:00,2018-01-01 14:30:00,1080,1461
LINEA_E,14:45:00,2018-01-01 14:45:00,981,1048
LINEA_E,15:00:00,2018-01-01 15:00:00,1280,923
LINEA_E,15:15:00,2018-01-01 15:15:00,1175,584
LINEA_E,15:30:00,2018-01-01 15:30:00,1164,524
LINEA_E,15:45:00,2018-01-01 15:45:00,1152,702
LINEA_E,16:00:00,2018-01-01 16:00:00,1608,729
LINEA_E,16:15:00,2018-01-01 16:15:00,1374,501
LINEA_E,16:30:00,2018-01-01 16:30:00,1358,527
LINEA_E,16:45:00,2018-01-01 16:45:00,1333,701
LINEA_E,17:00:00,2018-01-01 17:00:00,1955,2708
LINEA_E,17:15:00,2018-01-01 17:15:00,2013,2288
LINEA_E,17:30:00,2018-01-01 17:30:00,1981,1985
LINEA_E,17:45:00,2018-01-01 17:45:00,1984,1770
LINEA_E,18:00:00,2018-01-01 18:00:00,2536,2364
LINEA_E,18:15:00,2018-01-01 18:15:00,1968,2222
LINEA_E,18:30:00,2018-01-01 18:30:00,1526,1623
LINEA_E,18:45:00,2018-01-01 18:45:00,1207,1188
LINEA_H,13:00:00,2018-01-01 13:00:00,2019,2524
LINEA_H,13:15:00,2018-01-01 13:15:00,2011,2416
LINEA_H,13:30:00,2018-01-01 13:30:00,1894,2323
LINEA_H,13:45:00,2018-01-01 13:45:00,1682,2283
LINEA_H,14:00:00,2018-01-01 14:00:00,1955,2744
LINEA_H,14:15:00,2018-01-01 14:15:00,1804,2241
LINEA_H,14:30:00,2018-01-01 14:30:00,1744,1920
LINEA_H,14:45:00,2018-01-01 14:45:00,1538,1454
LINEA_H,15:00:00,2018-01-01 15:00:00,1964,1366
LINEA_H,15:15:00,2018-01-01 15:15:00,1850,913
LINEA_H,15:30:00,2018-01-01 15:30:00,1882,583
LINEA_H,15:45:00,2018-01-01 15:45:00,1743,896
LINEA_H,16:00:00,2018-01-01 16:00:00,2234,1142
LINEA_H,16:15:00,2018-01-01 16:15:00,2131,924
LINEA_H,16:30:00,2018-01-01 16:30:00,2189,869
LINEA_H,16:45:00,2018-01-01 16:45:00,1917,987
LINEA_H,17:00:00,2018-01-01 17:00:00,2605,3355
LINEA_H,17:15:00,2018-01-01 17:15:00,2446,2872
LINEA_H,17:30:00,2018-01-01 17:30:00,2469,2675
LINEA_H,17:45:00,2018-01-01 17:45:00,2350,2376
LINEA_H,18:00:00,2018-01-01 18:00:00,3362,3345
LINEA_H,18:15:00,2018-01-01 18:15:00,2721,2912
LINEA_H,18:30:00,2018-01-01 18:30:00,2244,2423
LINEA_H,18:45:00,2018-01-01 18:45:00,1874,1733
