Año,Fecha,Mes,Día de la semana,Día,Tema,Sub Tema,Línea,Estación,
2015,1/2/15,1,Friday,2,Felicitaciones,FELICITACIONES - INSTALACIONES,SERVICIOS Y PERSONAL - SUBTE,B,MEDRANO
2015,1/2/15,1,Friday,2,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,D,SCALABRINI ORTIZ,
2015,1/2/15,1,Friday,2,Emergencias,ASISTENCIA EN  EMERGENCIAS - SUBTE,B,Tronador Villa Ortuzar,
2015,1/5/15,1,Monday,5,Coches,FUNCIONAMIENTO/ MANTENIMIENTO DE COCHES - SUBTE,D,Congreso de Tucumán,
2015,1/5/15,1,Monday,5,Temperaturas,ALTAS - BAJAS TEMPERATURAS - SUBTE,D,Congreso de Tucumán,
2015,1/5/15,1,Monday,5,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,D,FACULTAD DE MEDICINA,
2015,1/5/15,1,Monday,5,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,D,FACULTAD DE MEDICINA,
2015,1/5/15,1,Monday,5,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,D,FACULTAD DE MEDICINA,
2015,1/5/15,1,Monday,5,Coches,FUNCIONAMIENTO/ MANTENIMIENTO DE COCHES - SUBTE,B,CALLAO_B,
2015,1/5/15,1,Monday,5,Felicitaciones,TRATO Y ATENCION DEL PERSONAL - SUBTE,B,DORREGO,
2015,1/5/15,1,Monday,5,Demoras e Interrupciones,DEMORAS - SUBTE,B,ANGEL GALLARDO,
2015,1/5/15,1,Monday,5,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,B,ANGEL GALLARDO,
2015,1/5/15,1,Monday,5,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,B,FEDERICO LACROZE,
2015,1/5/15,1,Monday,5,Deficiencias en información,SEÑALETICA - SUBTE,B,URUGUAY,
2015,1/5/15,1,Monday,5,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,A,LIMA,
2015,1/5/15,1,Monday,5,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,A,PIEDRAS,
2015,1/5/15,1,Monday,5,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,D,MINISTRO CARRANZA,
2015,1/5/15,1,Monday,5,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,D,MINISTRO CARRANZA,
2015,1/5/15,1,Monday,5,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,D,MINISTRO CARRANZA,
2015,1/5/15,1,Monday,5,Medios de pago,INCONVENIENTES EN BOLETERIA - SUBTE,D,TRIBUNALES,
2015,1/5/15,1,Monday,5,Molinetes,FUNCIONAMIENTO/ MANTENIMIENTO DE MOLINETES - SUBTE,D,TRIBUNALES,
2015,1/5/15,1,Monday,5,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,D,TRIBUNALES,
2015,1/5/15,1,Monday,5,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,C,Constitución,
2015,1/5/15,1,Monday,5,Deficiencias en información,FALTA DE INFORMACION - SUBTE,H,CORRIENTES,
2015,1/5/15,1,Monday,5,Medios de pago,MEDIOS DE PAGO - SUBTE,C,RETIRO,
2015,1/5/15,1,Monday,5,Medios de pago,MEDIOS DE PAGO - SUBTE,A,ALBERTI,
2015,1/5/15,1,Monday,5,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,A,Río de Janeiro,
2015,1/5/15,1,Monday,5,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,D,9 DE JULIO,
2015,1/5/15,1,Monday,5,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,D,9 DE JULIO,
2015,1/5/15,1,Monday,5,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,D,CATEDRAL,
2015,1/5/15,1,Monday,5,Medios de pago,INCONVENIENTES EN BOLETERIA - SUBTE,C,DIAGONAL NORTE,
2015,1/5/15,1,Monday,5,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,C,DIAGONAL NORTE,
2015,1/5/15,1,Monday,5,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,D,AGÜERO,
2015,1/5/15,1,Monday,5,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,C,General San Martín,
2015,1/5/15,1,Monday,5,Seguridad,ROBOS O ILICITOS - SUBTE,C,General San Martín,
2015,1/5/15,1,Monday,5,Baños,FALTA DE  BAÑOS - SUBTE,B,JUAN MANUEL DE ROSAS,
2015,1/6/15,1,Tuesday,6,Demoras e Interrupciones,DEMORAS - SUBTE,A,CONGRESO,
2015,1/6/15,1,Tuesday,6,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,A,CONGRESO,
2015,1/6/15,1,Tuesday,6,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,B,FEDERICO LACROZE,
2015,1/6/15,1,Tuesday,6,Medios de pago,MEDIOS DE PAGO - SUBTE,B,CARLOS PELLEGRINI,
2015,1/6/15,1,Tuesday,6,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,E,JUJUY,
2015,1/6/15,1,Tuesday,6,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,C,Constitución,
2015,1/6/15,1,Tuesday,6,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,C,Constitución,
2015,1/6/15,1,Tuesday,6,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,C,Constitución,
2015,1/6/15,1,Tuesday,6,Otros,EXTENSION DE SUBTE-LINEA H EN CONSTRUCCION,H,SANTA FE,
2015,1/6/15,1,Tuesday,6,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,A,PRIMERA JUNTA,
2015,1/6/15,1,Tuesday,6,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,A,LORIA,
2015,1/6/15,1,Tuesday,6,Accesos cerrados,ACCESOS CERRADOS - SUBTE,D,MINISTRO CARRANZA,
2015,1/6/15,1,Tuesday,6,Accesos cerrados,ACCESOS CERRADOS - SUBTE,E,VARELA,
2015,1/6/15,1,Tuesday,6,Medios de pago,INCONVENIENTES EN BOLETERIA - SUBTE,A,PLAZA DE MAYO,
2015,1/7/15,1,Wednesday,7,Coches,FUNCIONAMIENTO/ MANTENIMIENTO DE COCHES - SUBTE,E,BOEDO,
2015,1/7/15,1,Wednesday,7,Estaciones,FILTRACIONES - SUBTE,E,Bolívar,
2015,1/7/15,1,Wednesday,7,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,A,CARABOBO,
2015,1/7/15,1,Wednesday,7,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,A,CONGRESO,
2015,1/7/15,1,Wednesday,7,Demoras e Interrupciones,DEMORAS - SUBTE,D,Congreso de Tucumán,
2015,1/7/15,1,Wednesday,7,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,Sin especificar,Sin especificar,
2015,1/7/15,1,Wednesday,7,Medios de pago,MEDIOS DE PAGO - SUBTE,D,CALLAO_D,
2015,1/7/15,1,Wednesday,7,Accesos cerrados,ACCESOS CERRADOS - SUBTE,D,CALLAO_D,
2015,1/7/15,1,Wednesday,7,Medios de pago,INCONVENIENTES EN BOLETERIA - SUBTE,D,FACULTAD DE MEDICINA,
2015,1/7/15,1,Wednesday,7,Medios de pago,MEDIOS DE PAGO - SUBTE,D,FACULTAD DE MEDICINA,
2015,1/7/15,1,Wednesday,7,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,B,Leandro N. Alem,
2015,1/7/15,1,Wednesday,7,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,B,CALLAO_B,
2015,1/7/15,1,Wednesday,7,Demoras e Interrupciones,DEMORAS - SUBTE,B,CALLAO_B,
