key,date,value,day
LINEA_B,"2018-01-01 18:45:00",10397,3
LINEA_B,"2018-01-01 19:00:00",14095,3
LINEA_A,"2018-01-01 13:00:00",7861,3
LINEA_A,"2018-01-01 13:15:00",6465,3
LINEA_A,"2018-01-01 13:30:00",7409,3
LINEA_A,"2018-01-01 13:45:00",6191,3
LINEA_A,"2018-01-01 14:00:00",2978,3
LINEA_A,"2018-01-01 14:15:00",8023,3
LINEA_A,"2018-01-01 14:30:00",5324,3
LINEA_A,"2018-01-01 14:45:00",7667,3
LINEA_A,"2018-01-01 15:00:00",9217,3
LINEA_A,"2018-01-01 15:15:00",12730,3
LINEA_A,"2018-01-01 15:30:00",9057,3
LINEA_A,"2018-01-01 15:45:00",6744,3
LINEA_A,"2018-01-01 16:00:00",4774,3
LINEA_A,"2018-01-01 16:15:00",709,3
LINEA_A,"2018-01-01 16:30:00",3046,3
LINEA_A,"2018-01-01 16:45:00",4505,3
LINEA_A,"2018-01-01 17:00:00",2944,3
LINEA_A,"2018-01-01 17:15:00",14132,3
LINEA_A,"2018-01-01 17:30:00",26332,3
LINEA_A,"2018-01-01 17:45:00",22496,3
LINEA_A,"2018-01-01 18:00:00",25579,3
LINEA_A,"2018-01-01 18:15:00",17875,3
LINEA_A,"2018-01-01 18:30:00",12428,3
LINEA_A,"2018-01-01 18:45:00",7618,3
LINEA_A,"2018-01-01 19:00:00",9249,3
